row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,1601,1583,1619,37,-18.682,12.8444,1.3394,1.1783,0.0,0.0,3.9849,3.8445
1,0,349,331,367,37,-17.066,11.7423,0.8093,1.8416,0.0,0.0,2.3472,5.6811
2,0,520,502,538,37,-16.347,3.94,1.5706,1.8112,0.0,0.0,4.2356,5.358
2,1,701,683,719,37,-3.861,3.3806,1.477,1.6378,0.0,0.0,3.5821,6.4388
2,2,880,862,898,37,7.8077,2.9475,0.6073,0.7266,0.0,0.0,1.5418,2.1697
1,2,1060,1042,1078,37,7.6213,11.476,6.7017,1.5228,0.0,0.0,18.4723,3.7772
0,2,1241,1223,1259,37,11.976,12.2767,1.857,0.6852,0.0,0.0,4.6977,2.7735
0,1,1421,1403,1439,37,-11.492,12.2497,0.8115,1.1698,0.0,0.0,2.2577,3.6097
1,1,1782,1764,1800,37,-8.8772,5.8845,0.8608,1.5829,0.0,0.0,2.3079,5.1526
