row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,11307,11282,11332,51,-21.8048,18.3229,0.8324,0.9154,0.0399,1.2578,2.326,1.9912
1,0,10046,10021,10071,51,-23.3763,13.2524,0.653,0.5996,0.0255,0.78,1.6537,1.5864
2,0,10226,10201,10251,51,-20.8995,4.8373,1.3863,1.7657,1.4399,1.8316,6.3077,6.2804
2,1,10407,10382,10432,51,-7.2693,4.6477,0.8519,1.1985,1.1824,0.0359,2.0745,3.7072
2,2,10586,10561,10611,51,17.4581,5.6121,1.3321,0.473,0.1483,0.5453,4.2474,1.5273
1,2,10766,10741,10791,51,15.4534,11.7796,4.737,3.0552,0.2657,3.5303,17.3356,8.7004
0,2,10947,10922,10972,51,13.3805,19.8216,2.6307,1.6044,3.1356,1.8172,12.442,5.772
0,1,11127,11102,11152,51,-9.3984,19.6622,2.0088,1.1834,4.0823,0.0223,4.2298,5.0943
1,1,11488,11463,11513,51,-7.5418,13.6076,0.8654,1.0241,1.0163,1.6588,2.2136,2.6832
