frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
10065,335.5,2044,1069,2739,1993,-20.2392,17.4619,0.1587303625957737,0.0,0.1587303625957737,0.0
10066,335.533,2044,1069,2739,1992,-20.2178,17.6082,0.1606956873725694,0.0,0.1593199600288124,0.0
10067,335.567,2044,1068,2739,1991,-18.8127,16.3054,0.23995638506063854,0.0,0.18351088753836023,0.0
10068,335.6,2044,1068,2739,1991,-18.1645,16.3576,0.27835609970187764,0.0,0.21196445118741541,0.0
10069,335.633,2044,1068,2738,1991,-18.9976,15.5448,0.22482106752179562,0.0,0.21582143608772947,0.0
10070,335.667,2044,1068,2739,1991,-18.5118,15.3675,0.2527904047300013,0.0,0.226912126680411,0.0
10071,335.7,2044,1068,2739,1991,-18.5247,15.0747,0.25031266440508326,0.023119089201842368,0.23393228799781268,0.00693572676055271
10072,335.733,2044,1069,2739,1991,-19.868,15.6405,0.1722963671203709,0.0,0.21544151173458012,0.004855008732386897
10073,335.767,2044,1068,2738,1990,-13.3794,14.7771,0.5275158429526149,0.07930818777013818,0.30906381109999054,0.027190962443712278
10074,335.8,2045,1067,2738,1991,-13.1384,14.8055,0.5394054377901784,0.07728776210124387,0.37816629910704685,0.04222000234097176
10075,335.833,2045,1066,2738,1991,-14.2387,16.211,0.4907340986537358,0.0,0.41193663897105354,0.029554001638680227
10076,335.867,2045,1066,2739,1991,-15.5016,15.1276,0.4206952361358281,0.02983453057844198,0.4145642181204859,0.02963816032060875
10077,335.9,2045,1067,2739,1991,-15.2041,14.6303,0.433898832701706,0.08750238160384934,0.42036460249485186,0.04699742670558092
10078,335.933,2045,1067,2739,1991,-15.1984,14.6519,0.43431423133902114,0.08510293543753217,0.4245494911481026,0.05842907932516629
10079,335.967,2046,1066,2739,1991,-14.716,14.1418,0.4567872515537828,0.1437599695738247,0.4342208192698066,0.08402834639976381
10080,336.0,2046,1065,2738,1992,-11.6772,13.6113,0.6027342563716348,0.21364113151147088,0.48477485040035506,0.12291218193327591
10081,336.033,2045,1064,2738,1993,-13.1862,13.5751,0.5308496773491861,0.2112030333268662,0.49859729848500434,0.149399437351353
10082,336.067,2046,1064,2738,1993,-13.4505,14.6105,0.5232392263320677,0.09751732047220643,0.5059898768391233,0.13383480228760902
