row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,8922,8902,8942,41,-24.6429,16.9053,0.7679,1.0278,0.0,0.0,2.0322,2.4199
1,0,7661,7641,7681,41,-20.5448,10.3956,0.6792,0.7293,0.0,0.0,2.244,2.3759
2,0,7841,7821,7861,41,-22.2896,4.4876,0.6078,0.5865,0.0,0.0,1.3929,1.5244
2,1,8022,8002,8042,41,-6.6145,4.9964,0.7666,0.8086,0.0,0.0,2.3637,2.0386
2,2,8201,8181,8221,41,8.1391,6.1015,2.5382,0.883,0.0,0.0,6.4713,2.286
1,2,8381,8361,8401,41,14.4526,11.83,1.3811,0.6505,0.0,0.0,3.7517,1.5017
0,2,8562,8542,8582,41,9.2056,15.6928,4.6346,2.3212,0.0,0.0,16.715,8.7705
0,1,8742,8722,8762,41,-8.4062,20.6354,0.8804,0.8333,0.0,0.0,3.0613,1.888
1,1,9103,9083,9123,41,-5.3422,12.9924,0.8461,1.0538,0.0,0.0,2.7338,1.9265
