row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,14613,14588,14638,51,-20.7704,16.4212,0.5749,0.7115,0.6485,0.0299,1.6921,1.5547
1,0,13352,13327,13377,51,-20.8844,11.0259,0.8686,0.997,1.4299,1.8041,1.9557,2.6364
2,0,13532,13507,13557,51,-20.6455,0.1408,0.9106,1.0082,0.0867,1.3444,2.687,2.8945
2,1,13713,13688,13738,51,-6.9273,8.0878,0.6228,2.836,0.8403,0.1439,1.6365,12.7043
2,2,13892,13867,13917,51,17.242,7.4124,1.7314,1.5217,2.1673,2.2082,3.4736,3.4398
1,2,14072,14047,14097,51,15.3639,14.0627,1.0537,0.9869,0.0496,0.0739,3.6328,3.1865
0,2,14253,14228,14278,51,15.1717,16.1052,2.1677,0.8306,3.1072,0.6733,4.671,2.3832
0,1,14433,14408,14458,51,-9.7917,18.8128,1.8423,1.4105,1.7713,2.1622,6.2258,3.7103
1,1,14794,14769,14819,51,-9.5245,14.5952,1.2474,0.6078,1.2228,0.8792,3.0477,1.386
