row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,5940,5915,5965,51,-2.7966,18.4032,0.9164,0.5877,1.1283,0.7528,2.216,1.6739
1,0,5220,5195,5245,51,-7.2645,15.4521,1.4668,1.1197,2.7813,1.8916,2.5668,2.5046
2,0,5322,5297,5347,51,-6.2413,14.3447,1.7021,4.0692,1.4841,1.1523,6.6833,16.8563
2,1,5425,5400,5450,51,8.434,13.179,1.6271,3.3163,0.2187,2.1304,4.4558,10.5619
2,2,5527,5502,5552,51,18.5176,13.0544,1.1735,1.0576,0.0137,1.2493,3.2609,3.0607
1,2,5631,5606,5656,51,19.8195,15.916,0.8449,0.6633,1.2832,0.0325,2.2101,2.0827
0,2,5734,5709,5759,51,20.6553,21.2231,1.2479,0.7659,1.9082,0.0393,3.8692,2.1586
0,1,5838,5813,5863,51,8.2096,19.9825,1.3102,1.2449,2.0375,2.017,3.3674,2.4098
1,1,6043,6018,6068,51,8.898,13.67,0.9158,0.8168,1.1305,1.4152,2.7976,1.7747
