row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,2490,2465,2515,51,-8.3777,22.4934,1.0842,1.2413,1.5058,0.2977,3.6391,3.87
1,0,1770,1745,1795,51,-12.701,16.4507,1.4098,0.841,1.7495,1.1211,4.3356,1.748
2,0,1873,1848,1898,51,-14.4049,12.8442,1.6233,1.1932,2.6431,1.5103,3.6141,2.8408
2,1,1976,1951,2001,51,5.8532,11.0339,1.2893,3.2502,0.0452,1.3158,3.3196,14.4048
2,2,2079,2054,2104,51,24.248,13.1082,1.7766,1.0084,2.7985,1.319,4.9053,2.6924
1,2,2181,2156,2206,51,23.702,16.5356,1.9728,0.8352,3.3051,1.4695,4.3075,2.1333
0,2,2284,2259,2309,51,23.0465,19.3908,0.9819,1.2183,0.8189,1.7293,2.8739,3.1351
0,1,2388,2363,2413,51,7.7737,23.8676,1.1974,1.2105,0.0858,1.6311,3.7412,2.7517
1,1,2593,2568,2618,51,8.635,18.1294,1.2092,1.0275,0.0549,1.2334,3.5582,3.2755
