row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,943,918,968,51,-11.3763,22.5375,1.927,1.0994,0.1298,1.9819,5.745,2.1804
1,0,222,197,247,51,-12.7706,17.8785,0.9441,0.8174,1.4168,0.0315,2.3639,3.3208
2,0,326,301,351,51,-13.0663,13.2403,1.0494,0.9824,1.1739,1.3301,2.6614,2.4564
2,1,429,404,454,51,6.3437,14.4067,1.6081,0.9251,2.0416,0.0985,3.838,2.7013
2,2,532,507,557,51,26.4069,12.6862,1.076,1.8738,1.809,2.8638,2.3205,4.2081
1,2,635,610,660,51,23.9072,19.3837,1.4628,1.1051,0.0684,1.3934,4.5926,2.7019
0,2,738,713,763,51,24.939,23.1925,0.902,1.4252,1.3578,0.0707,1.7708,4.2007
0,1,841,816,866,51,4.4242,25.3943,1.6863,0.9306,2.1378,0.0886,4.0927,2.7683
1,1,1047,1022,1072,51,7.0188,18.4458,1.3474,1.3437,1.9805,2.0955,2.4755,3.0673
