frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
115,3.833,1416,410,2395,1923,-14.1302,15.0275
116,3.867,1416,410,2395,1922,-12.5008,15.4988
117,3.900,1415,409,2395,1922,-14.0723,14.1426
118,3.933,1416,409,2395,1921,-13.8015,15.4781
119,3.967,1417,411,2395,1923,-15.3669,14.6713
120,4.000,1417,413,2397,1920,-14.5631,13.7409
121,4.033,1417,413,2396,1920,-13.9401,13.1587
122,4.067,1417,413,2396,1920,-13.8715,13.1909
123,4.100,1417,413,2396,1920,-13.9231,13.1892
124,4.133,1417,412,2396,1921,-12.4245,13.4494
125,4.167,1417,412,2396,1921,-12.2800,13.1897
126,4.200,1417,412,2396,1921,-12.2911,13.2175
127,4.233,1417,412,2396,1921,-12.2911,13.2175
128,4.267,1416,413,2396,1921,-13.5307,12.4101
129,4.300,1417,414,2396,1921,-11.9012,15.2450
130,4.333,1418,412,2398,1926,-12.5198,17.8376
131,4.367,1419,414,2397,1926,-14.2638,19.1132
132,4.400,1419,413,2396,1925,-13.9391,18.6204
133,4.433,1419,414,2396,1923,-13.9085,17.7689
134,4.467,1419,414,2395,1923,-13.6874,15.7039
135,4.500,1419,414,2395,1923,-13.6874,15.7039
136,4.533,1419,411,2396,1922,-14.3061,17.6540
137,4.567,1419,411,2396,1922,-14.2363,18.0253
138,4.600,1419,411,2396,1922,-14.2363,18.0253
139,4.633,1418,411,2395,1919,-15.4634,17.9828
140,4.667,1418,410,2396,1921,-15.2443,18.5909
141,4.700,1419,409,2396,1918,-13.0291,19.5957
142,4.733,1421,408,2395,1917,-14.7341,16.6653
143,4.767,1421,408,2396,1917,-12.5046,16.3769
144,4.800,1421,409,2396,1921,-14.7322,16.6361
145,4.833,1421,411,2397,1922,-10.6403,18.8564
146,4.867,1421,411,2397,1925,-13.6108,18.5284
147,4.900,1421,411,2398,1921,-14.6086,20.7973
148,4.933,1421,409,2401,1923,-14.9085,20.4532
149,4.967,1421,409,2403,1924,-12.9554,18.4650
150,5.000,1423,414,2405,1924,-13.0876,13.6972
151,5.033,1423,414,2405,1924,-13.0642,13.9392
152,5.067,1423,414,2405,1924,-13.0636,13.9431
153,5.100,1423,414,2405,1924,-13.0636,13.9431
154,5.133,1423,414,2405,1924,-13.3513,13.8835
155,5.167,1423,415,2403,1922,-15.4715,12.6221
156,5.200,1423,414,2404,1921,-13.7268,12.3858
157,5.233,1424,415,2404,1923,-13.8502,14.4576
158,5.267,1424,415,2403,1918,-13.7514,14.4507
159,5.300,1424,415,2403,1916,-13.7754,12.2185
160,5.333,1425,414,2403,1916,-13.5476,11.6422
161,5.367,1425,415,2403,1916,-14.0672,11.8552
162,5.400,1425,415,2403,1913,-14.0092,11.7967
163,5.433,1425,415,2402,1913,-12.3160,10.7730
164,5.467,1425,415,2402,1913,-12.3160,10.7730
165,5.500,1425,415,2402,1913,-12.3160,10.7730
166,5.533,1425,415,2403,1913,-13.7093,12.7539
167,5.567,1423,413,2403,1916,-12.9079,13.1228
168,5.600,1423,414,2402,1915,-12.4529,12.4529
169,5.633,1423,413,2402,1916,-10.9220,12.5060
170,5.667,1422,411,2404,1919,-13.4124,11.4763
171,5.700,1422,410,2404,1921,-13.6488,15.2102
172,5.733,1423,410,2405,1921,-13.9782,13.7489
173,5.767,1423,410,2405,1920,-13.1117,13.6651
174,5.800,1423,411,2406,1922,-13.1780,11.2209
175,5.833,1422,413,2406,1920,-12.0627,11.4248
176,5.867,1422,413,2406,1920,-11.8406,11.7165
177,5.900,1422,413,2406,1920,-11.9552,10.9512
178,5.933,1422,413,2406,1919,-12.9258,12.0135
179,5.967,1423,414,2405,1919,-12.7703,10.3622
