frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
11839,394.633,1473,734,2303,1985,11.1188,26.8211,0.5633485124968153,0.0,0.5633485124968153,0.0
11840,394.667,1473,737,2303,1986,6.7577,28.2371,0.39493747797528855,0.0,0.5128252021403572,0.0
11841,394.7,1473,739,2304,1986,5.8247,28.5352,0.3571263388981576,0.0,0.46611554316769727,0.0
11842,394.733,1474,740,2303,1987,4.9635,29.6416,0.3046471392455669,0.0,0.4176750219910581,0.0
11843,394.767,1474,741,2304,1983,3.4987,28.4186,0.27809084519834343,0.0,0.3757997689532437,0.0
11844,394.8,1474,742,2305,1981,2.4309,27.2531,0.2643219342123075,0.0,0.3423564185309628,0.0
11845,394.833,1475,738,2305,1981,5.206,28.1068,0.3437068619127334,0.0,0.342761551545494,0.0
11846,394.867,1475,738,2305,1979,2.6173,28.1489,0.252735438632286,0.0,0.31575371767153154,0.0
11847,394.9,1475,737,2305,1978,3.4368,27.0148,0.30331719902871995,0.0,0.31202276207868807,0.0
11848,394.933,1475,736,2306,1977,4.174,27.1511,0.32593351083015437,0.0,0.31619598670412796,0.0
11849,394.967,1475,735,2307,1975,5.2434,25.8404,0.38399253113979515,0.0,0.33653495003482814,0.0
11850,395.0,1474,738,2309,1974,4.0242,26.974,0.3240519572333305,0.0,0.33279005219437885,0.0
11851,395.033,1474,738,2309,1973,6.442,26.8111,0.4083993748231026,0.0,0.3554728489829959,0.0
11852,395.067,1474,739,2309,1972,9.2516,25.2193,0.5226439721568378,0.0,0.4056241859351485,0.0
11853,395.1,1474,740,2309,1971,7.6496,25.5352,0.46709201280326135,0.0,0.4240645339955823,0.0
11854,395.133,1474,742,2309,1970,7.747,25.1194,0.47572056949063674,0.0,0.43956134464409863,0.0
11855,395.167,1474,743,2309,1972,9.3178,24.7985,0.5296372849093044,0.0,0.46658412672366034,0.0
11856,395.2,1474,744,2309,1973,10.9452,24.2568,0.586197362709235,0.0,0.5024680975193327,0.0
11857,395.233,1473,743,2309,1973,8.8528,25.3154,0.5087156232312382,0.0,0.5043423552329044,0.0
11858,395.267,1473,744,2308,1971,9.3767,23.4512,0.5454540045844142,0.013075387196880383,0.5166758500383573,0.003922616159064115
11859,395.3,1473,742,2307,1972,5.7238,25.1977,0.4093836786596153,0.0,0.4844881986247347,0.0027458313113448802
11860,395.333,1473,741,2306,1970,4.7485,21.4582,0.4249191885548141,0.21279185210487786,0.4666174956037585,0.06575963754940477
11861,395.367,1472,741,2306,1968,4.1057,22.1346,0.3982317442539206,0.14503789771678813,0.4461017701988071,0.08954311559961978
11862,395.4,1471,741,2305,1971,3.2775,24.2596,0.3442303579630506,0.0,0.41554034652808014,0.06268018091973385
11863,395.433,1471,745,2305,1968,4.7671,24.6147,0.38688793350322576,0.0,0.4069446226206238,0.04387612664381369
11864,395.467,1471,745,2305,1968,4.6245,24.7316,0.3806017739165469,0.0,0.3990417680094007,0.030713288650669582
11865,395.5,1472,747,2304,1969,4.365,24.6584,0.3733065380454794,0.0,0.3913211990202243,0.021499302055468707
11866,395.533,1471,747,2304,1969,5.3766,25.2787,0.39691798929507494,0.0,0.3930002361026794,0.015049511438828093
11867,395.567,1470,747,2304,1969,4.2037,25.8311,0.3497875577706073,0.0,0.38003643260305775,0.010534658007179665
11868,395.6,1471,747,2304,1968,3.4166,25.422,0.3305122083109873,0.0,0.3651791653154366,0.007374260605025765
11869,395.633,1470,747,2304,1968,1.6229,27.1989,0.23757019953993536,0.0,0.32689647558278623,0.005161982423518036
11870,395.667,1470,748,2304,1969,1.556,25.1994,0.27290918243564766,0.0,0.31070028763864466,0.0036133876964626246
11871,395.7,1470,747,2304,1968,0.8188,28.2531,0.18720908398039116,0.0,0.2736529265411686,0.002529371387523837
11872,395.733,1470,745,2303,1965,0.5617,25.3512,0.23720560582585404,0.0,0.2627187303265742,0.001770559971266686
11873,395.767,1470,745,2304,1965,0.4468,27.498,0.19057994416134633,0.0,0.24107709447700584,0.00123939197988668
