row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,16879,16844,16914,71,-11.5529,22.5629,0.9333,1.3549,1.4771,1.8661,2.1079,3.235
1,0,15612,15577,15647,71,-15.5049,17.2454,2.5715,2.9604,0.0942,1.6982,9.8073,15.0335
2,0,15793,15758,15828,71,-16.0512,11.4385,3.8064,3.2438,3.029,0.0795,17.2637,14.7638
2,1,15974,15939,16009,71,4.7841,7.3031,2.3065,1.4171,0.0326,1.9829,8.2158,5.4367
2,2,16155,16120,16190,71,27.9979,8.9573,3.1112,2.605,1.492,0.017,13.642,8.7044
1,2,16336,16301,16371,71,23.91,16.6616,1.619,1.0423,0.0886,0.1061,4.0281,4.0855
0,2,16517,16482,16552,71,21.5684,21.4743,1.6138,1.2456,0.0318,0.172,3.8371,4.2036
0,1,16698,16663,16733,71,9.3379,24.5711,3.3627,2.6246,4.5384,2.3749,10.0547,8.005
1,1,17060,17025,17095,71,8.6356,21.5654,1.403,1.0675,1.8481,1.4996,3.5953,2.5922
