row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,5043,5023,5063,41,-8.2774,11.1832,1.036,0.9734,2.3756,1.8282,2.2656,2.4561
1,0,3776,3756,3796,41,-8.7621,8.1399,1.2049,1.1044,2.6265,1.8554,2.5775,2.8614
2,0,3957,3937,3977,41,-5.3002,5.7548,1.183,1.4983,2.5214,2.0458,3.3381,4.7493
2,1,4138,4118,4158,41,6.5624,3.2055,1.6787,1.6246,3.5611,3.2705,4.9992,3.3377
2,2,4319,4299,4339,41,21.045,3.3649,1.5853,1.026,3.1541,2.1165,4.0825,2.0757
1,2,4500,4480,4520,41,23.1521,8.2463,1.9839,0.6138,4.4647,1.2315,4.4296,1.8516
0,2,4681,4661,4701,41,20.6381,9.7193,1.0393,0.8043,1.5479,1.4998,3.3362,1.7788
0,1,4862,4842,4882,41,3.1115,8.5005,0.9435,1.3655,2.1816,2.2778,2.493,3.9471
1,1,5224,5204,5244,41,5.671,8.1295,2.3544,1.3071,5.2194,2.2889,4.7213,3.1601
