frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
115,3.833,1221,551,2089,1888,-6.4728,11.1608
116,3.867,1225,570,2092,1879,-5.8803,8.9612
117,3.900,1225,570,2092,1880,-6.1178,11.3132
118,3.933,1225,570,2092,1878,-4.8187,10.5453
119,3.967,1225,569,2092,1879,-7.5650,9.9390
120,4.000,1219,566,2083,1875,-8.2331,9.2772
121,4.033,1219,563,2083,1878,-9.8808,9.6538
122,4.067,1218,562,2084,1877,-7.4881,9.8564
123,4.100,1216,560,2086,1885,-6.9897,10.8296
124,4.133,1217,561,2086,1884,-6.5617,7.5402
125,4.167,1217,560,2085,1885,-8.5419,7.8500
126,4.200,1217,560,2085,1885,-8.3752,7.5778
127,4.233,1217,559,2085,1885,-7.4124,10.1304
128,4.267,1217,559,2085,1885,-8.3602,10.5545
129,4.300,1217,558,2086,1886,-7.5425,8.5688
130,4.333,1217,558,2086,1885,-8.5704,8.2287
131,4.367,1217,559,2085,1885,-8.2797,11.2636
132,4.400,1217,558,2085,1885,-8.4143,8.9917
133,4.433,1217,559,2086,1884,-9.2101,11.6879
134,4.467,1216,559,2086,1885,-5.6941,11.5826
135,4.500,1216,560,2085,1882,-8.9356,11.1448
136,4.533,1216,560,2085,1883,-6.8044,10.5141
137,4.567,1215,560,2084,1882,-8.2303,11.6904
138,4.600,1215,560,2084,1882,-8.2128,11.1219
139,4.633,1215,560,2084,1881,-7.4770,9.5398
140,4.667,1215,560,2084,1882,-8.8629,11.6544
141,4.700,1215,560,2085,1882,-7.4821,13.1173
142,4.733,1215,561,2084,1882,-8.3783,14.6462
143,4.767,1215,559,2084,1882,-7.0202,11.8611
144,4.800,1215,558,2085,1884,-8.3337,9.4871
145,4.833,1215,559,2085,1885,-7.0617,13.0024
146,4.867,1215,558,2085,1885,-7.6694,11.2255
147,4.900,1215,559,2085,1886,-6.6930,10.3469
148,4.933,1215,559,2084,1885,-7.0991,11.9497
149,4.967,1222,562,2094,1888,-7.3837,11.0219
150,5.000,1222,564,2094,1891,-8.9601,11.1790
151,5.033,1222,566,2094,1891,-6.3561,10.5179
152,5.067,1222,565,2094,1891,-9.1026,11.6786
153,5.100,1222,565,2094,1891,-9.0702,12.2007
154,5.133,1216,562,2083,1886,-6.3062,11.6721
155,5.167,1217,562,2083,1886,-6.9501,10.9790
156,5.200,1216,562,2083,1887,-6.9413,8.0764
157,5.233,1216,563,2083,1887,-6.6264,9.3091
158,5.267,1219,548,2090,1898,-4.8822,11.4151
159,5.300,1216,564,2083,1887,-6.3998,11.0274
160,5.333,1216,563,2083,1887,-5.6856,7.4550
161,5.367,1216,564,2083,1887,-6.1147,10.3762
162,5.400,1216,564,2083,1888,-6.0589,9.3027
163,5.433,1223,566,2093,1890,-4.8947,10.5124
164,5.467,1218,548,2091,1899,-5.8242,12.2815
165,5.500,1218,548,2091,1898,-6.1699,14.2670
166,5.533,1217,549,2092,1899,-5.3103,10.8857
167,5.567,1216,550,2093,1901,-4.0327,8.9551
168,5.600,1216,550,2093,1900,-6.8125,10.6229
169,5.633,1216,551,2093,1900,-7.4081,11.9784
170,5.667,1216,551,2094,1902,-9.2630,11.6986
171,5.700,1216,552,2094,1900,-4.7691,11.2254
172,5.733,1216,551,2094,1901,-6.6671,9.1968
173,5.767,1218,568,2085,1887,-8.1045,10.6497
174,5.800,1218,568,2085,1887,-8.3773,10.6026
175,5.833,1218,568,2086,1888,-5.6164,11.2695
176,5.867,1218,568,2085,1888,-8.2159,11.5803
177,5.900,1218,569,2086,1888,-4.8855,11.7397
178,5.933,1218,569,2086,1888,-4.6803,12.1292
179,5.967,1218,568,2085,1888,-7.1992,11.9387
180,6.000,1218,565,2086,1892,-9.5610,10.0305
181,6.033,1218,564,2085,1892,-6.8774,10.9580
182,6.067,1218,564,2085,1893,-10.3336,11.0957
183,6.100,1217,563,2086,1893,-9.9506,11.2806
184,6.133,1218,563,2085,1891,-5.3742,12.8238
185,6.167,1219,562,2085,1891,-8.6073,10.4245
186,6.200,1219,561,2086,1892,-9.0790,8.7172
187,6.233,1219,561,2085,1892,-7.6575,12.0124
188,6.267,1220,561,2086,1890,-8.4449,7.8781
189,6.300,1220,560,2086,1891,-8.7735,10.7232
190,6.333,1219,561,2086,1891,-8.8512,10.3139
191,6.367,1219,561,2087,1892,-8.2899,12.0596
192,6.400,1220,562,2086,1886,-9.0267,9.5813
193,6.433,1220,562,2086,1885,-9.2717,11.7308
194,6.467,1220,562,2086,1885,-9.0586,11.6342
195,6.500,1219,562,2086,1887,-8.3284,11.6956
196,6.533,1220,562,2086,1886,-8.7377,10.2136
197,6.567,1220,561,2087,1885,-8.9731,11.7952
198,6.600,1222,560,2086,1881,-8.4595,10.0250
199,6.633,1222,559,2086,1880,-7.3933,11.5019
200,6.667,1224,559,2085,1878,-5.9122,8.5280
201,6.700,1224,561,2086,1880,-7.8385,11.4041
202,6.733,1224,561,2086,1879,-6.7286,11.9959
203,6.767,1224,561,2086,1879,-6.2654,12.7969
204,6.800,1223,561,2086,1881,-7.4536,11.8127
205,6.833,1224,561,2085,1881,-6.7088,10.6724
206,6.867,1223,561,2086,1883,-6.9424,12.6447
207,6.900,1223,561,2086,1883,-7.3829,13.3180
208,6.933,1223,561,2086,1886,-7.9576,11.5282
209,6.967,1224,561,2086,1886,-6.9911,10.7207
210,7.000,1223,562,2087,1884,-6.4621,7.4522
