frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
12312,410.4,1534,363,2464,1890,3.6947,10.8965,0.42355413284746707,0.405447773107411,0.42355413284746707,0.405447773107411
12313,410.433,1535,364,2464,1888,4.4237,10.1399,0.4501430686698332,0.4973128998176189,0.4315308135941769,0.4330073111204733
12314,410.467,1536,363,2465,1886,3.7581,6.0905,0.391772490259161,0.9107192895363518,0.4196033165936721,0.5763209046452369
12315,410.5,1536,363,2465,1886,3.1515,7.5049,0.3696364787230156,0.7825123126333303,0.4046132652324751,0.6381783270416649
12316,410.533,1537,364,2465,1887,2.4874,7.7675,0.33906881106611075,0.7548755814625838,0.38494992898256575,0.6731875033679405
12317,410.567,1538,365,2465,1887,3.8428,8.4698,0.4092186234099376,0.6868250526921377,0.3922305373107773,0.6772787681651997
12318,410.6,1537,365,2466,1887,5.5086,11.0255,0.5084041139410852,0.3808800601049384,0.4270826102998696,0.5883591557471213
12319,410.633,1537,366,2466,1889,7.0432,10.9015,0.5760309992710084,0.38418337351159115,0.47176712699121126,0.5271064210764622
12320,410.667,1537,365,2467,1888,5.4213,9.2441,0.48882727937345744,0.5987078517565338,0.47688517270588504,0.5485868502804836
12321,410.7,1537,365,2467,1887,5.4176,9.4513,0.490259319845419,0.574940788775067,0.4808974168477452,0.5564930318288586
12322,410.733,1537,364,2467,1886,6.0231,8.8267,0.513471770865278,0.6426051253649551,0.49066972305300505,0.5823266598896875
12323,410.767,1537,364,2467,1883,6.8128,9.0068,0.5506217199277986,0.61734105688465,0.5086553221154431,0.5928309789881762
12324,410.8,1536,364,2467,1885,6.762,8.158,0.5430341404028546,0.7104973193001021,0.5189689676016664,0.6281308810817539
12325,410.833,1536,365,2467,1886,6.5447,5.988,0.5237129262388819,0.9186729171516796,0.520392155192831,0.7152934919027316
12326,410.867,1536,367,2467,1887,6.2786,5.0547,0.5090754940660145,0.9950129102611918,0.516997156854786,0.7992093174102697
12327,410.9,1535,369,2467,1889,7.4098,4.0836,0.5610866116058638,1.0,0.5302239932801094,0.8594465221871888
12328,410.933,1535,368,2467,1889,5.0373,3.9548,0.44846456797057604,1.0,0.5056961656872494,0.9016125655310321
12329,410.967,1535,368,2467,1889,5.3961,3.8073,0.4656733313312935,1.0,0.4936893153804626,0.9311287958717225
12330,411.0,1535,368,2467,1890,5.5481,3.7132,0.47294549169865496,1.0,0.4874661682759203,0.9517901571102056
12331,411.033,1535,368,2467,1889,5.1842,4.0293,0.4556163977461521,1.0,0.47791123711698985,0.9662531099771439
12332,411.067,1537,369,2466,1885,-0.6971,5.4373,0.16515530252277769,0.9228988941585966,0.3840844567387262,0.9532468452315797
12333,411.1,1538,368,2466,1884,-1.8856,5.9961,0.10607432221512574,0.8630398842807017,0.3006814163816461,0.9261847569463162
12334,411.133,1538,368,2467,1885,-1.4988,6.7294,0.13104756826046676,0.8106574562764326,0.24979126194529228,0.8915265667453511
12335,411.167,1538,368,2468,1887,-0.585,8.2102,0.18940804044611315,0.6884216070243404,0.2316762954955385,0.8305950788290479
12336,411.2,1537,370,2469,1891,-3.5849,7.4965,0.027119963189516857,0.7097925264898284,0.170309395803732,0.794354313127282
12337,411.233,1536,369,2470,1893,-2.2699,8.62,0.1065479535440074,0.6264476259234482,0.1511809631258146,0.7439823069661319
12338,411.267,1536,369,2470,1893,-2.379,8.7743,0.10238669377863413,0.6093831379196397,0.13654268232166045,0.7036025562521843
12339,411.3,1536,369,2471,1893,-1.6137,8.7145,0.14135001192352062,0.6259620950966737,0.1379848812022185,0.680310417905531
12340,411.333,1536,370,2470,1893,-1.4701,6.3831,0.13024704083601468,0.8393800093717316,0.13566352909235735,0.7280312953453911
12341,411.367,1536,370,2470,1893,-1.2522,6.4489,0.14201406433810737,0.8373122483871622,0.13756868966608235,0.7608155812579225
12342,411.4,1536,370,2471,1893,-2.0193,5.392,0.09559218253136638,0.9050577155372715,0.12497573752566754,0.8040882215417271
12343,411.433,1536,370,2471,1893,-1.8301,5.6779,0.10714230076504187,0.8877450376832067,0.11962570649747983,0.8291852663841709
12344,411.467,1536,370,2470,1892,-1.951,7.35,0.1120496558602511,0.7505987851543375,0.11735289130631121,0.8056093220152208
12345,411.5,1536,370,2470,1893,-0.9583,6.5911,0.15816732257774377,0.8298293464873152,0.129597220687741,0.8128753293568491
12346,411.533,1537,372,2470,1892,-3.3831,6.3499,0.02889956068895523,0.8086594002423968,0.09938792268810526,0.8116105506225134
12347,411.567,1537,372,2470,1892,-2.6611,7.4024,0.0752597344208472,0.7345972520649847,0.09214946620792784,0.7885065610552547
12348,411.6,1537,372,2470,1891,-1.6679,10.299,0.15530117952248929,0.45354283090207165,0.11109498020229627,0.6880174420092998
12349,411.633,1537,371,2470,1893,0.5485,8.2919,0.2472318741719807,0.6912392249035726,0.1519360483932016,0.6889839768775816
12350,411.667,1537,372,2471,1891,-2.6833,10.2282,0.1024430334340062,0.448963754050452,0.13708814390544297,0.6169779100294427
12351,411.7,1536,372,2471,1891,-4.1983,8.3768,0.0026104525684470833,0.6173922095550787,0.09674483650434419,0.6171021998871334
12352,411.733,1536,371,2472,1894,-2.1189,7.1292,0.1015696382625518,0.7672706596431275,0.09819227703180647,0.6621527378139316
12353,411.767,1535,370,2472,1894,-2.0988,7.1832,0.10303458600290963,0.7629186484965597,0.09964496972313741,0.69238251101872
12354,411.8,1535,368,2472,1892,-0.4104,8.1467,0.19774315380739874,0.6965077078100756,0.1290744249484158,0.6936200700561266
12355,411.833,1535,368,2472,1891,-0.5955,7.3901,0.18236991031505959,0.7654095229994423,0.14506307055840895,0.7151569059391213
12356,411.867,1536,367,2472,1888,0.5146,7.7661,0.24142496253269036,0.7421374657553007,0.17397163815069336,0.7232510738839751
12357,411.9,1535,368,2472,1887,-1.5124,9.6812,0.15631846370269883,0.525044524606017,0.168675685816295,0.6637891091005876
12358,411.933,1535,367,2472,1886,-0.5981,7.0429,0.17974842509119446,0.7961743662190995,0.1719975075987648,0.7035046862361412
12359,411.967,1536,367,2470,1886,-2.2613,7.2564,0.09509278376895974,0.7539693008923226,0.14892609044982327,0.7186440706329955
12360,412.0,1536,364,2469,1887,-4.3288,11.7318,0.036785222507218655,0.24441686519904135,0.11528383006704188,0.5763759090028092
12361,412.033,1536,364,2468,1886,-4.9726,9.0933,0.0,0.5316589827124044,0.0806986810469293,0.5629608311156877
12362,412.067,1536,365,2468,1886,-3.7015,9.0004,0.035440602881536894,0.5652172416170584,0.06712125759731158,0.5636377542660989
12363,412.1,1536,365,2468,1886,-3.4035,8.9222,0.05032637412396517,0.5782745680942141,0.06208279255530765,0.5680287984145334
12364,412.133,1536,364,2468,1886,-4.9266,9.6616,0.0,0.47373331948971775,0.04345795478871536,0.5397401547370886
12365,412.167,1536,363,2468,1886,-3.2991,9.0814,0.0574890378318237,0.563795293356892,0.04766727970164786,0.5469566963230296
12366,412.2,1537,363,2468,1885,-2.9648,11.8906,0.10962379004733797,0.24371790160566406,0.06625423280535489,0.45598505790781985
12367,412.233,1537,362,2468,1885,-4.1346,10.2008,0.026422475880810082,0.4295645029805627,0.05430470572799145,0.4480588914296427
12368,412.267,1538,363,2468,1884,-5.0333,10.285,0.0,0.4037335879729687,0.03801329400959401,0.4347613003926405
12369,412.3,1538,363,2469,1883,-4.6225,9.2231,0.0,0.5254484447405521,0.026609305806715805,0.4619674436970139
12370,412.333,1537,364,2469,1885,-5.8926,7.9444,0.0,0.6206103265059145,0.01862651406470106,0.509560308539684
12371,412.367,1536,364,2470,1886,-5.4777,6.2691,0.0,0.7681848407835162,0.013038559845290742,0.5871476682128336
12372,412.4,1536,364,2470,1885,-4.8017,7.5142,0.0,0.6834592190107285,0.00912699189170352,0.616041133452202
12373,412.433,1536,364,2470,1886,-4.9012,6.1241,0.0,0.7929083680259961,0.006388894324192463,0.6691013038243402
