row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,19976,19956,19996,41,-3.9976,14.7735,1.0558,0.9634,0.0,0.0,2.2089,2.797
1,0,19262,19242,19282,41,-5.4735,10.9416,0.7636,1.3296,0.0,0.0,2.3642,2.8922
2,0,19364,19344,19384,41,-4.7472,7.0223,1.0596,0.9725,0.0,0.0,3.0031,3.1103
2,1,19466,19446,19486,41,8.3022,4.252,0.8345,1.2177,0.0,0.0,2.1346,3.4957
2,2,19568,19548,19588,41,17.7295,3.2787,0.6399,1.0461,0.0,0.0,1.6938,2.9294
1,2,19670,19650,19690,41,18.537,10.1303,1.3399,1.6942,0.0,0.0,3.2665,5.5332
0,2,19772,19752,19792,41,16.3475,10.3285,0.7041,1.4994,0.0,0.0,2.0239,3.9952
0,1,19874,19854,19894,41,7.5026,12.1367,1.1059,1.0463,0.0,0.0,2.9493,2.9818
1,1,20078,20058,20098,41,8.4306,8.8194,0.9969,1.5784,0.0,0.0,3.4301,4.3847
