row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,10145,10127,10163,37,-1.6546,12.4871,1.5055,2.3512,0.0,0.0,3.6499,8.2676
1,0,9431,9413,9449,37,-3.913,9.1591,0.7681,0.9619,0.0,0.0,2.2988,2.8273
2,0,9533,9515,9551,37,-2.1252,1.269,1.0925,1.6459,0.0,0.0,3.2118,4.1187
2,1,9635,9617,9653,37,9.1732,3.4304,0.912,0.8934,0.0,0.0,2.9687,2.4186
2,2,9737,9719,9755,37,21.7881,0.4747,1.1354,1.1546,0.0,0.0,3.1087,3.207
1,2,9839,9821,9857,37,21.7155,3.4645,0.8974,1.1815,0.0,0.0,3.0466,3.2893
0,2,9940,9922,9958,37,19.8396,9.6025,1.3504,1.5614,0.0,0.0,3.8878,5.0572
0,1,10043,10025,10061,37,7.8397,8.1147,2.0433,1.3286,0.0,0.0,6.1384,3.9812
1,1,10247,10229,10265,37,10.1843,10.0489,1.642,2.5631,0.0,0.0,3.5482,10.0006
