row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,4536,4516,4556,41,-16.3391,15.591,2.0957,2.0627,2.6044,2.2942,6.559,6.6757
1,0,3269,3249,3289,41,-17.5641,12.8113,1.0552,1.1927,1.9199,2.2382,2.9508,2.9752
2,0,3450,3430,3470,41,-15.3403,7.4105,9.8338,2.2392,2.088,2.9546,25.5714,7.0176
2,1,3631,3611,3651,41,7.3053,6.5527,0.9692,1.4694,1.4758,3.3191,2.8813,3.4949
2,2,3812,3792,3832,41,30.6309,6.4115,1.5309,1.4148,2.5626,2.5132,3.6045,4.325
1,2,3993,3973,4013,41,29.6918,10.7397,1.5121,1.3791,3.1783,2.7628,3.0936,3.2956
0,2,4174,4154,4194,41,26.6352,15.9529,1.2757,1.4853,2.1905,2.8106,4.1903,4.6298
0,1,4355,4335,4375,41,5.9738,19.0699,2.2092,1.4264,3.9308,2.2183,7.8111,3.3132
1,1,4717,4697,4737,41,8.0118,18.4617,1.0293,1.9541,1.7682,3.5548,3.7652,5.46
