row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,17739,17719,17759,41,-13.3752,16.8658,0.9402,1.3197,1.5359,2.8875,2.0638,2.8694
1,0,16472,16452,16492,41,-11.0727,16.0014,2.0306,1.5612,4.457,3.0328,5.2775,3.9544
2,0,16653,16633,16673,41,-10.6833,8.0594,1.0881,0.9002,2.1896,1.7937,2.568,2.1863
2,1,16834,16814,16854,41,9.8841,3.5933,1.2401,1.4615,2.4002,2.9158,3.6255,3.3401
2,2,17015,16995,17035,41,31.688,4.1787,1.3982,1.5618,3.2409,3.4285,2.8914,3.5627
1,2,17196,17176,17216,41,32.4449,12.188,1.3184,1.9904,2.2297,3.6404,4.2892,7.5523
0,2,17377,17357,17397,41,29.1924,16.7198,1.4566,1.501,2.9374,2.9837,3.6805,4.0228
0,1,17558,17538,17578,41,5.8552,17.7377,1.7565,1.2771,3.1479,2.3663,4.6626,3.4046
1,1,17920,17900,17940,41,9.3439,16.0235,1.7837,0.9276,3.7723,1.9683,3.4959,2.1932
