row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,15214,15194,15234,41,-10.2136,19.3014,1.9235,2.2585,4.6239,4.3445,3.9712,4.8478
1,0,13947,13927,13967,41,-12.4993,12.8464,1.5657,1.7324,3.2731,3.9924,3.6072,4.4833
2,0,14128,14108,14148,41,-12.4534,3.3776,1.3544,1.7682,2.4272,3.8569,3.5404,3.9058
2,1,14309,14289,14329,41,10.1429,7.0876,1.3661,0.9471,2.5897,1.6675,3.2862,2.3135
2,2,14490,14470,14510,41,31.5331,5.9413,1.3629,1.4477,2.8865,2.557,2.7913,3.8137
1,2,14671,14651,14691,41,32.4583,11.4944,2.2405,2.735,3.8885,4.1265,5.9335,6.6067
0,2,14852,14832,14872,41,28.5696,17.2708,1.8664,0.9513,3.9377,1.9269,3.71,2.2408
0,1,15033,15013,15053,41,5.6563,20.4974,1.3358,1.8701,3.0788,4.0653,2.4254,4.9802
1,1,15395,15375,15415,41,11.033,12.3067,1.375,1.4623,2.859,3.4192,3.164,3.9322
