row,col,center_frame,start_frame,end_frame,n_frames,mean_pitch_deg,mean_yaw_deg,std_pitch_deg,std_yaw_deg,range_pitch_deg,range_yaw_deg,max_abs_dev_pitch_deg,max_abs_dev_yaw_deg
0,0,26289,26264,26314,51,-13.1992,12.8265,0.8085,1.5988,0.0814,0.1525,2.1969,6.3068
1,0,25575,25550,25600,51,-15.5919,6.8588,1.5694,2.3444,2.4561,0.0272,3.6556,8.48
2,0,25677,25652,25702,51,-15.4944,1.4174,0.9101,1.3537,1.3069,0.0129,3.0367,4.5141
2,1,25779,25754,25804,51,-2.796,2.4012,0.9086,2.3428,1.4358,2.7362,2.0163,7.8703
2,2,25881,25856,25906,51,8.269,0.5585,1.2743,2.4866,0.0415,0.0817,3.6428,6.7497
1,2,25983,25958,26008,51,7.7626,6.5773,2.23,1.7867,0.0657,0.0099,6.6378,5.3425
0,2,26085,26060,26110,51,8.7439,11.3174,1.1307,1.2195,1.0661,1.4956,3.7428,2.8676
0,1,26187,26162,26212,51,-0.5917,12.0204,1.3408,1.8569,0.0143,2.8009,6.2837,4.9795
1,1,26391,26366,26416,51,-1.8658,7.6869,1.3455,2.7719,1.8119,0.1358,3.4182,12.7508
