frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
19095,636.5,1320,563,2310,1922,-13.6353,16.8599,0.17610919075651277,0.26295066511254445,0.17610919075651277,0.26295066511254445
19096,636.533,1319,567,2309,1921,-13.6832,17.566,0.17787369152120336,0.22146266045133361,0.17663854098591994,0.25050426371418116
19097,636.567,1319,567,2309,1922,-13.1396,18.0471,0.19162658748471534,0.19639774207263744,0.18113495493555853,0.23427230722171802
19098,636.6,1319,567,2309,1922,-13.0288,16.8609,0.189051812528405,0.2663204705050249,0.18351001221341248,0.24388675620671008
19099,636.633,1320,567,2309,1922,-15.9619,18.2313,0.13318027268261057,0.16828318996583172,0.1684110903541719,0.22120568633444654
19100,636.667,1320,567,2309,1922,-16.1266,18.6046,0.13164888190936772,0.1451430328122082,0.15738242782073064,0.19838689027777504
19101,636.7,1321,566,2311,1923,-11.3444,18.929,0.23504753832341363,0.1543454265531792,0.18068196097153552,0.18517445116039627
19102,636.733,1321,567,2311,1924,-11.5288,20.2611,0.2391999010673842,0.07449356197241216,0.1982373430002901,0.15197018440400104
19103,636.767,1320,567,2314,1924,-16.3549,17.1191,0.12030176667967026,0.23106666353255823,0.17485667010410416,0.17569912814256816
19104,636.8,1319,565,2316,1922,-13.4989,15.8448,0.17580194080277156,0.32258688471586316,0.17514025131370436,0.21976545511455664
19105,636.833,1320,565,2317,1922,-12.5015,17.0654,0.20114815183300236,0.25731740565628386,0.18294262146949375,0.23103104027707477
19106,636.867,1320,565,2317,1922,-12.7166,17.0983,0.196641480409416,0.2542287286061005,0.18705227915147044,0.23799034677578249
19107,636.9,1320,565,2317,1922,-12.9745,17.3868,0.19225182157094928,0.235977905603096,0.1886121418773141,0.23738661442397652
19108,636.933,1320,565,2316,1921,-19.8464,17.659,0.052573863381568456,0.1744540296643174,0.1478006583285904,0.21850683899607876
19109,636.967,1320,566,2316,1921,-17.243,16.5011,0.10004035356773547,0.26125153350925523,0.13347256690033393,0.2313302473500317
19110,637.0,1321,568,2315,1919,-12.9124,18.5942,0.19921323479083175,0.16552422657171298,0.15319476726748327,0.21158844111653607
19111,637.033,1320,569,2314,1919,-13.6734,18.5085,0.18250243457340554,0.16617489930615614,0.16198706745925995,0.19796437857342208
19112,637.067,1320,569,2314,1919,-13.9928,17.8017,0.1723362860358829,0.20583714640769346,0.16509183303224684,0.20032620892370348
19113,637.1,1320,569,2314,1919,-15.5778,19.2537,0.14653829146982264,0.11026985372265077,0.15952577056351958,0.17330930236338765
19114,637.133,1320,568,2314,1919,-15.772,19.0193,0.14118841410928046,0.12291379944277714,0.15402456362724784,0.1581906514872045
19115,637.167,1319,568,2316,1919,-14.0225,17.688,0.17120544853266703,0.21232650714761248,0.1591788290988736,0.17443140818532687
19116,637.2,1319,567,2316,1919,-15.5703,17.01,0.13605948808399418,0.242512735024201,0.15224302679440976,0.19485580623698912
19117,637.233,1319,568,2317,1919,-9.6144,17.9857,0.2685370559855298,0.21819017111073458,0.18713123555174577,0.20185611569911271
19118,637.267,1321,567,2318,1919,-16.7199,15.8383,0.10872239359298512,0.30331589348057714,0.16360858296411757,0.23229404903355202
19119,637.3,1320,568,2320,1920,-13.6679,17.5609,0.17817712525287535,0.22185002929664457,0.1679791456507449,0.22916084311247978
19120,637.333,1320,567,2320,1920,-13.6826,17.4636,0.17745486152900106,0.22745620479411427,0.17082186041422173,0.2286494516169701
19121,637.367,1320,568,2320,1920,-13.9504,16.6091,0.16854955397597315,0.27571836780347186,0.17014016848274716,0.24277012647292062
19122,637.4,1320,567,2320,1921,-14.2884,15.7745,0.1589111003909992,0.32212199565247274,0.16677144805522276,0.26657568722678626
19123,637.433,1320,568,2321,1923,-11.4501,17.5191,0.2258188534102574,0.23643824580846035,0.18448566966173313,0.25753445480128845
19124,637.467,1320,568,2321,1923,-11.2887,17.3111,0.22848485458880508,0.24938196865012488,0.1976854251398547,0.2550887089559394
19125,637.5,1320,568,2321,1923,-10.0236,17.7677,0.25839292555141136,0.2289900383310024,0.2158976752633217,0.24725910776845827
19126,637.533,1319,569,2321,1924,-14.3445,15.5996,0.15728672615428402,0.3318961107257949,0.1983143905306104,0.27265020865565925
19127,637.567,1320,570,2322,1925,-11.5857,17.3105,0.22198727443704475,0.247895493046823,0.20541625570254068,0.2652237939730084
19128,637.6,1320,569,2322,1925,-12.3098,17.8652,0.20864396574754093,0.21167272172617055,0.20638456871604074,0.24915847229895702
19129,637.633,1320,569,2322,1925,-11.0145,17.977,0.2374221945060818,0.21191912337942148,0.21569585645305306,0.23798666762309634
19130,637.667,1320,568,2322,1927,-12.2121,17.0454,0.20732525482714,0.2600371678322371,0.21318467596527912,0.24460181768583855
19131,637.7,1320,566,2323,1926,-10.8324,17.0955,0.23765210431551648,0.2642004582493466,0.2205249044703503,0.250481409854891
19132,637.733,1320,567,2322,1926,-10.9319,17.7008,0.2379801362708,0.22846826870981693,0.22576147401048519,0.24387746751136874
19133,637.767,1320,566,2322,1927,-8.5447,16.6611,0.28716215714045656,0.29979127307746517,0.2441816789494766,0.2606516091811977
19134,637.8,1319,563,2323,1925,-7.9287,19.0804,0.3124218090938649,0.1615758943435646,0.2646537179927931,0.23092889472990774
19135,637.833,1320,566,2322,1927,-7.6935,15.467,0.3029571508278215,0.3717779103486189,0.27614474784330156,0.27318359941552106
19136,637.867,1321,566,2323,1930,-9.8992,14.3442,0.2510313158636469,0.4266221158952901,0.2686107182494052,0.31921515435945175
19137,637.9,1320,567,2329,1932,-1.3523,15.397,0.45341460214823825,0.3941534064428839,0.3240518834190551,0.34169662998448136
19138,637.933,1318,568,2330,1930,0.5999,19.024,0.5173165137985264,0.1899559288234829,0.3820312725328965,0.2961744196361818
19139,637.967,1323,565,2326,1936,0.8209,14.0463,0.5049701716659849,0.4734605655808969,0.418912942272823,0.3493602634195963
19140,638.0,1322,575,2333,1950,2.317,11.5924,0.5423870870442332,0.6102555350517952,0.45595518570424604,0.42762884490925596
19141,638.033,1324,576,2334,1951,-2.4882,14.1016,0.42313149940542977,0.46478525697776596,0.4461080798146011,0.43877576852980893
19142,638.067,1322,574,2338,1947,0.6098,16.9734,0.507456726448957,0.30794558068049604,0.4645126738049079,0.399526712175015
19143,638.1,1322,578,2342,1946,2.1724,14.9656,0.5409378469332577,0.4234097960861496,0.48744022574341284,0.40669163734835534
19144,638.133,1322,578,2342,1947,0.8397,10.3996,0.506612536346739,0.6741285958003724,0.4931919189244106,0.4869227248839605
